alpha,model,symbol,n_cal,n_test,qV,pihat_raw,pihat_cp,viol_raw,viol_cp,p_kup_raw,p_kup_cp,p_cc_raw,p_cc_cp,TL_raw,TL_cp,QS_raw,QS_cp,VaR_width,raw_width
0.01,Chronos-Small,SP500,4254,1824,0.0323709831778864,0.3930921052631579,0.012609649122807,717,23,0.0,0.2816914868524941,0.9982178813349492,0.1018872543900122,Red,Green,0.003354030260626,0.0005574742232978,0.03380956985855,0.0014385866806636005
0.025,Chronos-Small,SP500,4254,1824,0.0230559483549513,0.400219298245614,0.0296052631578947,730,54,0.0,0.2206740739770071,0.9959792105016904,0.0198864752193953,Red,Yellow,0.0034413152375689,0.0010171808226291,0.0242681041641549,0.0012121558092035994
0.05,Chronos-Small,SP500,4254,1824,0.0163100166999549,0.4078947368421052,0.0531798245614035,744,97,0.0,0.5372207439516083,0.9928865924862676,0.0564244561418418,Red,Red,0.0035325608207087,0.0015570638840421,0.0172407529415824,0.0009307362416275007
0.1,Chronos-Small,SP500,4254,1824,0.0106039807667178,0.4205043859649123,0.112938596491228,767,206,0.0,0.0705300197464262,0.8332282619445782,0.2102224523454389,Red,Red,0.0036937687312954,0.0023319772113566,0.0112607486054061,0.0006567678386883002
0.01,Chronos-Small,STOXX,3495,1498,0.0344355987433157,0.3998664886515354,0.0046728971962616,599,7,0.0,0.0207034864201672,0.5661187647145404,0.0747641346878585,Red,Green,0.0027889610903339,0.0003865389922154,0.0353552937956444,0.000919695052328702
0.025,Chronos-Small,STOXX,3495,1498,0.0245926065969835,0.4098798397863818,0.0133511348464619,614,20,0.0,0.0015512868049941,0.5626481017826522,0.5408054537666004,Red,Green,0.0028680305066583,0.0007723627572436,0.0253554274564409,0.0007628208594573985
0.05,Chronos-Small,STOXX,3495,1498,0.0177712037748326,0.417890520694259,0.034712950600801,626,52,0.0,0.0041525380734945,0.5076469215875032,3.166196582338188e-05,Red,Yellow,0.0029545960682041,0.0012249075405998,0.0183836733336803,0.0006124695588476982
0.1,Chronos-Small,STOXX,3495,1498,0.0120255048934943,0.4292389853137516,0.0694259012016021,643,104,0.0,3.299055914451898e-05,0.3180293091729818,0.0009613425039161,Red,Red,0.003090982949894,0.0018612093054321,0.0123810445235801,0.0003555396300857997
0.01,Chronos-Small,GDAXI,4299,1843,0.0394621184934986,0.3846988605534455,0.0054259359739555,709,10,0.0,0.0306761425408957,0.8628651727554519,0.9468776194181852,Red,Green,0.0032747162534751,0.0005127388031963,0.0410481213170226,0.001586002823524002
0.025,Chronos-Small,GDAXI,4299,1843,0.0272877219363583,0.396093326098752,0.0206185567010309,730,38,0.0,0.2142872231667504,0.7971696108036981,0.027541432775591,Red,Yellow,0.0033671665704657,0.0009904797205594,0.0286941264626144,0.0014064045262560977
0.05,Chronos-Small,GDAXI,4299,1843,0.0205861662323918,0.4053174172544764,0.0320130222463374,747,59,0.0,0.00015505074461,0.6538051943365657,0.0107269879067303,Red,Yellow,0.0034802748841888,0.0015528415901335,0.0218133349803575,0.0012271687479657005
0.1,Chronos-Small,GDAXI,4299,1843,0.0143649344814653,0.4167118827997829,0.0727075420510038,768,134,0.0,4.396974950038324e-05,0.3653883113133136,0.0009561430139931,Red,Red,0.0036486576314301,0.0023297297372784,0.0153108094872487,0.0009458750057834003
0.01,Chronos-Small,FCHI,4330,1856,0.0360398217600515,0.40625,0.0102370689655172,754,19,0.0,0.9185587125657224,0.4520459784771328,0.0480997690826185,Red,Green,0.0033293278384705,0.0005204686067742,0.0373713433638587,0.0013315216038072009
0.025,Chronos-Small,FCHI,4330,1856,0.026617901143858,0.4132543103448275,0.021551724137931,767,40,0.0,0.3299719844954442,0.4426977116184314,0.0060504309898604,Red,Yellow,0.0034273222201359,0.0009869870934865,0.0277608367859687,0.0011429356421106991
0.05,Chronos-Small,FCHI,4330,1856,0.0195657075576197,0.4240301724137931,0.0344827586206896,787,64,0.0,0.0011887544959708,0.2681422237133251,0.0062386352698153,Red,Yellow,0.0035294952262391,0.00151496740478,0.0205207275848533,0.0009550200272336017
0.1,Chronos-Small,FCHI,4330,1856,0.0131222363479478,0.4412715517241379,0.084051724137931,819,156,0.0,0.0188513537301282,0.2109589388561104,0.0008562380678081,Red,Red,0.0036957889570302,0.0022359496391871,0.0137750294227759,0.0006527930748281008
