model,n_est,max_depth,lr,n_test,viol,pi_hat,kupiec_p,TL,QS,width,best_iter
Chronos-Small,100,3,0.01,1824,19,0.010416666666666666,0.8590063002826693,Green,0.00045877923875470105,0.030476151318280447,100
Chronos-Mini,100,3,0.01,1824,20,0.010964912280701754,0.6833965025842679,Green,0.0004636781502039494,0.03076817903954786,95
TimesFM-2.5,100,3,0.01,1824,21,0.011513157894736841,0.5259297091469449,Green,0.00046548746749373225,0.03054234389388229,100
Moirai-2.0,100,3,0.01,1824,20,0.010964912280701754,0.6833965025842679,Green,0.00045954928421109364,0.030497814831116767,100
Lag-Llama,100,3,0.01,1824,20,0.010964912280701754,0.6833965025842679,Green,0.0004652335822119146,0.03055284238462559,100
GJR-GARCH,100,3,0.01,1902,20,0.010515247108307046,0.8227871998864955,Green,0.000444579735405219,0.030739243152833783,100
GARCH-N,100,3,0.01,1902,20,0.010515247108307046,0.8227871998864955,Green,0.000460967345959609,0.03098044135414717,100
Hist-Sim,100,3,0.01,1902,20,0.010515247108307046,0.8227871998864955,Green,0.00046902601069269856,0.031040397966693667,100
EWMA,100,3,0.01,1902,22,0.011566771819137749,0.5028197031201949,Green,0.000475443765950222,0.030511139221508315,100
Chronos-Small,100,3,0.05,1824,27,0.014802631578947368,0.05433300784199768,Green,0.00043317012086451553,0.02636240673005899,60
Chronos-Mini,100,3,0.05,1824,29,0.015899122807017545,0.019707544877046956,Green,0.0004397299812041945,0.02630915161701524,55
TimesFM-2.5,100,3,0.05,1824,28,0.015350877192982455,0.033232742379692204,Green,0.0004416727810173954,0.02659403259917099,64
Moirai-2.0,100,3,0.05,1824,25,0.013706140350877192,0.13204636054365415,Green,0.0004419793778234655,0.028119855986919833,33
Lag-Llama,100,3,0.05,1824,28,0.015350877192982455,0.033232742379692204,Green,0.00044083867268401974,0.027137588113047933,54
GJR-GARCH,100,3,0.05,1902,33,0.017350157728706624,0.0035297881228083527,Yellow,0.0004180773708889195,0.02514859397791586,97
GARCH-N,100,3,0.05,1902,26,0.013669821240799159,0.12760586028236054,Green,0.00043703227203462753,0.02859302302123552,36
Hist-Sim,100,3,0.05,1902,28,0.014721345951629864,0.05316109913172806,Green,0.00045671892128085233,0.027617901681937406,48
EWMA,100,3,0.05,1902,30,0.015772870662460567,0.019607226817063506,Green,0.0004544191131938662,0.027350390639457534,46
Chronos-Small,100,5,0.01,1824,19,0.010416666666666666,0.8590063002826693,Green,0.0004615630795836254,0.029514369569669383,100
Chronos-Mini,100,5,0.01,1824,19,0.010416666666666666,0.8590063002826693,Green,0.0004573267109868786,0.02950211608202403,100
TimesFM-2.5,100,5,0.01,1824,21,0.011513157894736841,0.5259297091469449,Green,0.0004705994529789149,0.029485393566473034,96
Moirai-2.0,100,5,0.01,1824,20,0.010964912280701754,0.6833965025842679,Green,0.00046400788803809256,0.02945069294296621,100
Lag-Llama,100,5,0.01,1824,20,0.010964912280701754,0.6833965025842679,Green,0.00047248790492807367,0.02973936901904104,100
GJR-GARCH,100,5,0.01,1902,20,0.010515247108307046,0.8227871998864955,Green,0.00044590727303761205,0.02934111933105842,100
GARCH-N,100,5,0.01,1902,22,0.011566771819137749,0.5028197031201949,Green,0.00046204921512397416,0.029868676244331163,100
Hist-Sim,100,5,0.01,1902,22,0.011566771819137749,0.5028197031201949,Green,0.00047411369776824224,0.03009970179865571,100
EWMA,100,5,0.01,1902,23,0.012092534174553101,0.37453480021221885,Green,0.0004803833120820174,0.029402624421120918,100
Chronos-Small,100,5,0.05,1824,21,0.011513157894736841,0.5259297091469449,Green,0.00045285618087534553,0.027964731804424135,24
Chronos-Mini,100,5,0.05,1824,23,0.012609649122807017,0.2816914868524555,Green,0.0004587701619252545,0.028306717942280107,24
TimesFM-2.5,100,5,0.05,1824,22,0.01206140350877193,0.39141063360820116,Green,0.000472035516409179,0.02912839070383428,20
Moirai-2.0,100,5,0.05,1824,21,0.011513157894736841,0.5259297091469449,Green,0.00046738185132054054,0.02864373553626117,22
Lag-Llama,100,5,0.05,1824,21,0.011513157894736841,0.5259297091469449,Green,0.00047234452487365217,0.02941011270452336,20
GJR-GARCH,100,5,0.05,1902,35,0.01840168243953733,0.0009794634574257222,Yellow,0.00043588934996896035,0.024484037215702584,50
