n_cal,n_test,qV,pihat_raw,pihat_cp,viol_raw,viol_cp,p_kup_raw,p_kup_cp,p_cc_raw,p_cc_cp,TL_raw,TL_cp,QS_raw,QS_cp,VaR_width,raw_width,model,symbol,alpha
4276,1833,0.026479514057737817,0.41843971631205673,0.010365521003818877,767,19,0.0,0.8757598217094379,0.00511441238291821,0.014120488067457804,Red,Green,0.0029985664212519828,0.0004631911433617577,0.027220086750709818,0.0008053818777349111,Chronos-Small,ASX200,0.01
4276,1833,0.018934075617340458,0.42716857610474634,0.027823240589198037,783,51,0.0,0.44687143586562583,0.004582068329045397,0.0026697295592644776,Red,Yellow,0.003082216031046977,0.0008130326527950692,0.01938154082082833,0.0005533112640298654,Chronos-Small,ASX200,0.025
4276,1833,0.014001657537293932,0.4402618657937807,0.057283142389525366,807,105,0.0,0.16160759210206743,0.0014820597135378755,1.6192302219941723e-05,Red,Red,0.003152270052835405,0.001268984492301165,0.014309850339105966,0.00047492963519287,Chronos-Small,ASX200,0.05
4276,1833,0.009491976653634425,0.44953627932351337,0.10801963993453355,824,198,0.0,0.2579070129141873,0.00906837550740125,0.014916828443513386,Red,Red,0.0032574769657852604,0.0019082257994089138,0.009569332334626974,0.0004181120025559553,Chronos-Small,ASX200,0.1
3252,1395,0.021631863257192623,0.382078853046595,0.0007168458781362007,533,1,0.0,5.232900054830125e-06,0.06200916012312496,,Red,Green,0.0017762818418232517,0.0002547314532885528,0.023225708212763336,0.001593892186445536,Chronos-Small,AUDUSD,0.01
3252,1395,0.014640801962531421,0.38853046594982077,0.008602150537634409,542,12,0.0,5.876979911612068e-06,0.06479725987388618,,Red,Green,0.0018364782901493897,0.0004597311795236502,0.01613511458009067,0.0014944070792150073,Chronos-Small,AUDUSD,0.025
3252,1395,0.011125442510987607,0.392831541218638,0.024372759856630826,548,34,0.0,1.1895985192467151e-06,0.0424203698354495,0.8521369122183369,Red,Yellow,0.0019101915896218241,0.0007348773796766201,0.012512381024106314,0.0013874108868341904,Chronos-Small,AUDUSD,0.05
3252,1395,0.008124323274994964,0.40860215053763443,0.06451612903225806,570,90,0.0,2.6694781549707614e-06,0.004355158944790438,0.9333763254476141,Red,Red,0.0020421319572834656,0.001190124255422722,0.00931955796173409,0.0011970324275006386,Chronos-Small,AUDUSD,0.1
4186,1794,0.0418381945086304,0.38127090301003347,0.007803790412486065,684,14,0.0,0.33088803308718984,0.2732296278780675,8.73232361262577e-05,Red,Green,0.0037519491318614684,0.0007097330798421262,0.04444548610984418,0.0026116464027496032,Chronos-Small,BOVESPA,0.01
4186,1794,0.031562575655156286,0.39241917502787066,0.011705685618729096,704,21,0.0,5.839255994655179e-05,0.13617668891002221,0.001352767161219015,Red,Green,0.003875945095465253,0.0012158674045008716,0.03396127557140617,0.002407613758357161,Chronos-Small,BOVESPA,0.025
4186,1794,0.024987719321127002,0.4007803790412486,0.024526198439241916,719,44,0.0,4.470339898254849e-08,0.11699656829232996,0.11623115678243046,Red,Yellow,0.004024188434137396,0.0018446565557790145,0.02696429361810411,0.001999554284438964,Chronos-Small,BOVESPA,0.05
4186,1794,0.01723088664104821,0.411371237458194,0.06354515050167224,738,114,0.0,4.244611306880586e-08,0.13401795928028892,0.0812409394121365,Red,Red,0.0042652622266207,0.0027388137901261655,0.018826960970841078,0.001684429678062915,Chronos-Small,BOVESPA,0.1
2581,1107,0.10761549021774856,0.33875338753387535,0.0009033423667570009,375,1,0.0,8.590099648342342e-05,0.3812428420326881,,Red,Green,0.00586104513797183,0.0011800301933302861,0.1133865077685847,0.005771017550836152,Chronos-Small,BTC,0.01
2581,1107,0.08062919308168251,0.34688346883468835,0.0027100271002710027,384,3,0.0,1.4665116898626707e-09,0.8556752686446496,,Red,Green,0.006039406199554419,0.0022450956197679487,0.08615620507010371,0.005527011988421207,Chronos-Small,BTC,0.025
2581,1107,0.057461406337783474,0.35501355013550134,0.011743450767841012,393,13,0.0,2.958300271416192e-12,0.8888988805804986,,Red,Green,0.006276625947823289,0.003377983476143978,0.0627267882173765,0.00526538187959303,Chronos-Small,BTC,0.05
2581,1107,0.03658278421953296,0.36946702800361336,0.03974706413730804,409,44,0.0,5.4067861299245124e-14,0.9474818100057267,0.36826358949636095,Red,Red,0.006718722081466985,0.004950859388507609,0.041378336262342046,0.004795552042809078,Chronos-Small,BTC,0.1
4330,1856,0.036039821760051584,0.40625,0.010237068965517241,754,19,0.0,0.9185587125657224,0.20794046947748135,0.013757827107065856,Red,Green,0.0033374524706728708,0.0005203950811941938,0.03735658398136486,0.001357471638176105,Chronos-Small,FCHI,0.01
4330,1856,0.02661790114385808,0.41325431034482757,0.021551724137931036,767,40,0.0,0.3299719844954442,0.17016677843425065,0.0013928399567751937,Red,Yellow,0.0034302819104288737,0.0009872043063886018,0.027746182811746012,0.001201178902212002,Chronos-Small,FCHI,0.025
