model,symbol,n_test,viol,pi_hat,kupiec_p,TL,QS,width,converged
Chronos-Small,SP500,1824,2,0.0010964912280701754,1.0778928142274324e-06,Green,0.0006227889174214219,0.06149115332519765,1
Chronos-Small,STOXX,1498,0,0.0,4.08051099576312e-08,Green,0.0004858087717713705,0.0481468223334644,1
Chronos-Small,GDAXI,1843,26,0.01410743353228432,0.09511965252644872,Green,0.0004548693772711164,0.03202065508205342,1
Chronos-Small,FCHI,1856,30,0.016163793103448277,0.014284054061064255,Yellow,0.00046845248109737223,0.030670102940545296,1
Chronos-Small,FTSE100,1833,26,0.014184397163120567,0.09027554520864756,Green,0.0003804246319390433,0.026107273608728616,1
Chronos-Small,ICLN,1185,11,0.009282700421940928,0.8016638096754556,Green,0.0005380786260450549,0.04301893285791763,1
Chronos-Small,NIKKEI,1772,25,0.014108352144469526,0.10165741991357535,Green,0.0004884756968135961,0.032797149810794755,1
Chronos-Small,HSI,1784,2,0.0011210762331838565,1.5633457042252275e-06,Green,0.0007052265782281367,0.06562388073860294,1
Chronos-Small,BOVESPA,1794,11,0.006131549609810479,0.07611071317315499,Green,0.0004816694852400709,0.03882677849348714,1
Chronos-Small,NIFTY,1208,7,0.005794701986754967,0.11081403091403286,Green,0.0003050039717319506,0.02369012507345908,1
Chronos-Small,ASX200,1833,33,0.01800327332242226,0.001961909828656072,Yellow,0.00037505514456738617,0.02761584340940767,1
Chronos-Small,CBU0,976,28,0.028688524590163935,1.7193624769484828e-06,Yellow,0.00017699012406748678,0.009638303555528464,1
Chronos-Small,TLT,1631,22,0.0134886572654813,0.17878532279105386,Green,0.0003743572357535745,0.023801993911657847,1
Chronos-Small,IBGL,1226,14,0.011419249592169658,0.625272163187699,Green,0.0002483052499735943,0.02077812424513169,1
Chronos-Small,DJCI,693,12,0.017316017316017316,0.07952006629122066,Yellow,0.0004385022737497703,0.022871556070773368,1
Chronos-Small,GOLD,1770,19,0.010734463276836158,0.7589170341489639,Green,0.00043709037745248746,0.02915546817184802,1
Chronos-Small,WTI,1772,25,0.014108352144469526,0.10165741991357535,Green,0.0013490408674005777,0.09265871462453197,1
Chronos-Small,NATGAS,1771,27,0.015245623941276116,0.03944703006413963,Green,0.001385407594819701,0.10299649553515466,1
Chronos-Small,BTC,1107,2,0.0018066847335140017,0.0007462012875126822,Green,0.0009433408833117142,0.08660447579582467,1
Chronos-Small,ETH,762,8,0.010498687664041995,0.8908428750466807,Green,0.001225443295994125,0.10560587100652942,1
Chronos-Small,EURUSD,1582,2,0.0012642225031605564,1.0117645425467003e-05,Green,0.00019042239961606467,0.018372741891993838,1
Chronos-Small,GBPUSD,1585,9,0.0056782334384858045,0.05980258313164977,Green,0.00020550105249021996,0.016288912505986613,1
Chronos-Small,USDJPY,1888,15,0.007944915254237288,0.3519372215211136,Green,0.00019990879009115298,0.01563858346050607,1
Chronos-Small,AUDUSD,1395,10,0.007168458781362007,0.26290437305096925,Green,0.00021856517363193705,0.01711802288034955,1
Chronos-Mini,SP500,1824,2,0.0010964912280701754,1.0778928142274324e-06,Green,0.0006233903082172581,0.06157196656887481,1
Chronos-Mini,STOXX,1498,0,0.0,4.08051099576312e-08,Green,0.0004826021134732567,0.04782615650365302,1
Chronos-Mini,GDAXI,1843,1,0.0005425935973955507,6.534593421925194e-08,Green,0.0005945397974254272,0.058878417677746174,1
Chronos-Mini,FCHI,1856,1,0.0005387931034482759,5.7518323326455345e-08,Green,0.0005765515748420955,0.056893525315549504,1
Chronos-Mini,FTSE100,1833,3,0.0016366612111292963,8.034746877161325e-06,Green,0.0004999394642072925,0.04898089923794675,1
Chronos-Mini,ICLN,1185,11,0.009282700421940928,0.8016638096754556,Green,0.0005380928893085859,0.04302659948231734,1
Chronos-Mini,NIKKEI,1772,19,0.01072234762979684,0.7625997381188102,Green,0.00048158456510497634,0.0352619995679901,1
Chronos-Mini,HSI,1784,2,0.0011210762331838565,1.5633457042252275e-06,Green,0.0007041323257984504,0.06550126271431207,1
Chronos-Mini,BOVESPA,1794,19,0.010590858416945374,0.803260749518993,Green,0.0004900847418565274,0.03605869605067834,1
Chronos-Mini,NIFTY,1208,7,0.005794701986754967,0.11081403091403286,Green,0.00030558121170827935,0.023846314824302682,1
Chronos-Mini,ASX200,1833,20,0.010911074740861976,0.6992379726087683,Green,0.0004829577798666728,0.02842376939613624,1
Chronos-Mini,CBU0,976,28,0.028688524590163935,1.7193624769484828e-06,Yellow,0.0001766649356908459,0.009626121455139604,1
Chronos-Mini,TLT,1631,22,0.0134886572654813,0.17878532279105386,Green,0.0003010207043182303,0.025434154165761252,1
Chronos-Mini,IBGL,1226,10,0.008156606851549755,0.5027775030159605,Green,0.00023643865305677,0.02170257118249589,1
Chronos-Mini,DJCI,693,12,0.017316017316017316,0.07952006629122066,Yellow,0.0004349437177807702,0.022916347600418236,1
Chronos-Mini,GOLD,1770,20,0.011299435028248588,0.5903964450592079,Green,0.00043651035424124537,0.029227349673167397,1
Chronos-Mini,WTI,1772,24,0.013544018058690745,0.1548529750234291,Green,0.001347586662192683,0.09188501130666248,1
Chronos-Mini,NATGAS,1771,27,0.015245623941276116,0.03944703006413963,Green,0.0013858834018085444,0.10307957218340742,1
Chronos-Mini,BTC,1107,2,0.0018066847335140017,0.0007462012875126822,Green,0.0010892512873096848,0.10386416093991133,1
Chronos-Mini,ETH,762,8,0.010498687664041995,0.8908428750466807,Green,0.0012492638850113578,0.10528403309580604,1
Chronos-Mini,EURUSD,1582,2,0.0012642225031605564,1.0117645425467003e-05,Green,0.000188887681531598,0.01818880063780741,1
Chronos-Mini,GBPUSD,1585,10,0.006309148264984227,0.11311915690915664,Green,0.00020531736479778538,0.016079313996601646,1
Chronos-Mini,USDJPY,1888,12,0.006355932203389831,0.08810957645884177,Green,0.00022161620795874273,0.018641143664415067,1
Chronos-Mini,AUDUSD,1395,1,0.0007168458781362007,5.232900054830125e-06,Green,0.00026339764825491704,0.024165099803212537,1
TimesFM-2.5,SP500,1824,21,0.011513157894736841,0.5259297091469449,Green,0.00047324437973806277,0.03705244495826277,1
TimesFM-2.5,STOXX,1498,15,0.010013351134846462,0.9958571521769223,Green,0.0003465917788509564,0.027049814670279195,1
TimesFM-2.5,GDAXI,1843,26,0.01410743353228432,0.09511965252644872,Green,0.0004548667531358891,0.03209606664182388,1
TimesFM-2.5,FCHI,1856,27,0.014547413793103448,0.0652143330682664,Green,0.0004446679100586672,0.030932372300353804,1
TimesFM-2.5,FTSE100,1833,3,0.0016366612111292963,8.034746877161325e-06,Green,0.0004999038523355051,0.04902459372471998,1
TimesFM-2.5,ICLN,1185,19,0.016033755274261603,0.05494058990134609,Yellow,0.0005419580609456638,0.03869787052710956,1
TimesFM-2.5,NIKKEI,1772,25,0.014108352144469526,0.10165741991357535,Green,0.0004909666836530747,0.03284114907785361,1
TimesFM-2.5,HSI,1784,22,0.01233183856502242,0.3395375912110068,Green,0.0005284330369196003,0.035854649357554384,1
TimesFM-2.5,BOVESPA,1794,9,0.005016722408026756,0.018925610100367307,Green,0.0004860056542522358,0.039438074629685786,1
TimesFM-2.5,NIFTY,1208,7,0.005794701986754967,0.11081403091403286,Green,0.0003076790353445056,0.024226451363909635,1
TimesFM-2.5,ASX200,1833,16,0.00872885979268958,0.576101581921255,Green,0.00047907638464550695,0.029722687307686815,1
TimesFM-2.5,CBU0,976,28,0.028688524590163935,1.7193624769484828e-06,Yellow,0.0001763795842058489,0.00972205127226765,1
TimesFM-2.5,TLT,1631,22,0.0134886572654813,0.17878532279105386,Green,0.0003012820204271664,0.025523724803721233,1
TimesFM-2.5,IBGL,1226,13,0.010603588907014683,0.8333996385166496,Green,0.00024628172264006177,0.021388852809001886,1
