model,symbol,n_test,viol,pi_hat,kupiec_p,TL,QS,width
Chronos-Small,SP500,1824,28,0.015350877192982455,0.033232742379692204,Green,0.00042655475504552263,0.026465027729817764
Chronos-Small,STOXX,1498,24,0.01602136181575434,0.03124975285332232,Yellow,0.00035947503886284165,0.024351729747165093
Chronos-Small,GDAXI,1843,45,0.024416711882799782,1.4993202468449596e-07,Yellow,0.0004989953537765195,0.02594682964149917
Chronos-Small,FCHI,1856,42,0.022629310344827586,2.698500442654961e-06,Yellow,0.0004981235404284206,0.024677394890529745
Chronos-Small,FTSE100,1833,37,0.020185488270594652,0.00011772510161989214,Yellow,0.00041723966124281264,0.021934302788925084
Chronos-Small,ICLN,1185,23,0.019409282700421943,0.0039384810946127,Yellow,0.0005359305901278533,0.03570041821870238
Chronos-Small,NIKKEI,1772,12,0.006772009029345372,0.14693978931159457,Green,0.0005105116362542812,0.03762029214538316
Chronos-Small,HSI,1784,22,0.01233183856502242,0.3395375912110068,Green,0.0005188644623146474,0.03438618240906241
Chronos-Small,BOVESPA,1794,28,0.01560758082497213,0.027379769563118272,Green,0.0005414207665935004,0.03170243615065015
Chronos-Small,NIFTY,1208,9,0.0074503311258278145,0.35094245540487556,Green,0.00031685892452772764,0.023398890691821654
Chronos-Small,ASX200,1833,37,0.020185488270594652,0.00011772510161989214,Yellow,0.0004206005625733708,0.02171684393658189
Chronos-Small,CBU0,976,35,0.035860655737704916,3.150482097424856e-10,Yellow,0.0001916553888165598,0.009717321824206659
Chronos-Small,TLT,1631,40,0.024524831391784182,6.569809531953297e-07,Yellow,0.0003567784498920877,0.01987048968499511
Chronos-Small,IBGL,1226,16,0.013050570962479609,0.30517715374895826,Green,0.00024678464523033823,0.019492105922871757
Chronos-Small,DJCI,693,30,0.04329004329004329,6.837685972982399e-11,Red,0.0005298550883029092,0.016186337723326692
Chronos-Small,GOLD,1770,32,0.01807909604519774,0.0021510284669289392,Yellow,0.0004511462767318552,0.025659283215362063
Chronos-Small,WTI,1772,33,0.018623024830699775,0.0011228456881323678,Yellow,0.0012531069341263665,0.05788270841312358
Chronos-Small,NATGAS,1771,55,0.031055900621118012,9.86322135076989e-13,Yellow,0.0017610857426461673,0.07617868990209375
Chronos-Small,BTC,1107,1,0.0009033423667570009,8.590099648342342e-05,Green,0.0011541220348163699,0.11061532802636213
Chronos-Small,ETH,762,17,0.02230971128608924,0.0032886594996585083,Yellow,0.0013683124289314778,0.08829948412016059
Chronos-Small,EURUSD,1582,29,0.018331226295828066,0.0028510234211409635,Yellow,0.00016858689492913476,0.010431534028849866
Chronos-Small,GBPUSD,1585,10,0.006309148264984227,0.11311915690915664,Green,0.0001992418508197444,0.01498955097539298
