n_test,viol,pi_hat,kupiec_p,TL,QS,width,model,symbol,w
693,12,0.017316017316017316,0.07952006629122066,Yellow,0.0004135779433610256,0.024658756267575598,Chronos-Small,DJCI,500
1770,34,0.0192090395480226,0.0005487616693885533,Yellow,0.0004824457606272691,0.028104162032689305,Chronos-Small,GOLD,500
1772,17,0.009593679458239277,0.862592312679337,Green,0.0013155128322673763,0.07856173504822798,Chronos-Small,WTI,500
1771,19,0.010728402032749858,0.7607580589988859,Green,0.0015858095831091565,0.111967159429201,Chronos-Small,NATGAS,500
693,13,0.01875901875901876,0.038786558523273174,Yellow,0.00041101667030797465,0.025096616042260305,Chronos-Mini,DJCI,500
1770,31,0.01751412429378531,0.004081035255344201,Yellow,0.0004791428773847833,0.02834394433431246,Chronos-Mini,GOLD,500
1771,17,0.009599096555618294,0.8644566116923917,Green,0.0013115853623604954,0.07764718137707795,Chronos-Mini,WTI,500
1771,20,0.01129305477131564,0.5920815997022498,Green,0.001576571611774487,0.11038918427303529,Chronos-Mini,NATGAS,500
693,11,0.015873015873015872,0.1523089390947161,Green,0.00032148864088227724,0.025535556392537757,TimesFM-2.5,DJCI,500
1770,27,0.015254237288135594,0.03920077012306655,Green,0.0004518244247618686,0.02949163608803514,TimesFM-2.5,GOLD,500
1772,19,0.01072234762979684,0.7625997381188102,Green,0.001172506518102796,0.07736534811453633,TimesFM-2.5,WTI,500
1771,19,0.010728402032749858,0.7607580589988859,Green,0.0014954840091206505,0.10556848863106848,TimesFM-2.5,NATGAS,500
693,11,0.015873015873015872,0.1523089390947161,Green,0.0003170890077542842,0.024117076953908734,Moirai-2.0,DJCI,500
1770,26,0.014689265536723164,0.06382723343489938,Green,0.0004902329023650012,0.03177902871417607,Moirai-2.0,GOLD,500
1772,19,0.01072234762979684,0.7625997381188102,Green,0.0011952147269917981,0.08434475810862242,Moirai-2.0,WTI,500
1771,20,0.01129305477131564,0.5920815997022498,Green,0.0016530335936419795,0.12134092884861845,Moirai-2.0,NATGAS,500
693,12,0.017316017316017316,0.07952006629122066,Yellow,0.0003762192139382266,0.025483049726588217,Lag-Llama,DJCI,500
1770,28,0.015819209039548022,0.023320192126977335,Green,0.0004985662397746274,0.0328780424575545,Lag-Llama,GOLD,500
1772,19,0.01072234762979684,0.7625997381188102,Green,0.0012198734946602425,0.08769418159966204,Lag-Llama,WTI,500
1771,14,0.007905138339920948,0.3577359754953623,Green,0.0015126020212094375,0.1269906258621681,Lag-Llama,NATGAS,500
772,20,0.025906735751295335,0.00021273835555413179,Yellow,0.00029550391737393763,0.02493707093713179,GJR-GARCH,DJCI,500
1848,19,0.010281385281385282,0.9036795655322565,Green,0.00040014102348669633,0.031217902565163616,GJR-GARCH,GOLD,500
1850,20,0.010810810810810811,0.7293704147570077,Green,0.0010558097187545695,0.08019946009428183,GJR-GARCH,WTI,500
1850,16,0.008648648648648649,0.549849620190038,Green,0.0013848611485221484,0.11601157754248449,GJR-GARCH,NATGAS,500
772,10,0.012953367875647668,0.4302223849444151,Green,0.00029472180103806705,0.023515640398557473,GARCH-N,DJCI,500
1848,21,0.011363636363636364,0.564205766162096,Green,0.00041245150090631256,0.028947244161380784,GARCH-N,GOLD,500
1850,18,0.00972972972972973,0.9065746205110985,Green,0.0010901635647575117,0.07772910128246828,GARCH-N,WTI,500
1850,20,0.010810810810810811,0.7293704147570077,Green,0.001370792195340137,0.10912337346274613,GARCH-N,NATGAS,500
772,13,0.01683937823834197,0.08193621665816764,Yellow,0.00039942681853503856,0.028349438933195657,Hist-Sim,DJCI,500
1848,27,0.01461038961038961,0.06235093480776577,Green,0.0004459303363181157,0.030494876819940408,Hist-Sim,GOLD,500
1850,27,0.014594594594594595,0.06305764753772947,Green,0.0014397260148423334,0.0929549409744046,Hist-Sim,WTI,500
1850,22,0.011891891891891892,0.4271175368964937,Green,0.0016970563990846717,0.12276231229094471,Hist-Sim,NATGAS,500
772,8,0.010362694300518135,0.9198006539454642,Green,0.0002897198062659235,0.024099857392865937,EWMA,DJCI,500
1848,21,0.011363636363636364,0.564205766162096,Green,0.0004281885892048156,0.029115920178156486,EWMA,GOLD,500
1850,20,0.010810810810810811,0.7293704147570077,Green,0.001107387574390028,0.07834864116908245,EWMA,WTI,500
1850,20,0.010810810810810811,0.7293704147570077,Green,0.001379934987185811,0.11014225258790199,EWMA,NATGAS,500
