n_test,viol,pi_hat,kupiec_p,TL,QS,width,model,symbol,w
1822,24,0.013172338090010977,0.19437125252841891,Green,0.0005897462182330794,0.04263978349555381,Chronos-Small,SP500,250
1498,10,0.006675567423230975,0.16874172253425612,Green,0.00045827153165684675,0.038705538661202965,Chronos-Small,STOXX,250
1843,19,0.010309278350515464,0.8943749846944588,Green,0.0005390695587458097,0.03978795531958499,Chronos-Small,GDAXI,250
1856,17,0.009159482758620689,0.7120065114936887,Green,0.0005547022322569824,0.04051448979883455,Chronos-Small,CACT,250
1833,15,0.008183306055646482,0.4195979048591557,Green,0.0004977326597906918,0.03634385009937566,Chronos-Small,FTSE100,250
1185,7,0.00590717299578059,0.12526893715057474,Green,0.0005646911485890453,0.05012763243253713,Chronos-Small,ICLN,250
1772,13,0.007336343115124154,0.23683598367485126,Green,0.0005548736809973671,0.04116909335933664,Chronos-Small,NIKKEI,250
1784,18,0.010089686098654708,0.9696750750539642,Green,0.0006019812398700688,0.04394438327157027,Chronos-Small,HSI,250
1794,17,0.00947603121516165,0.821963732687937,Green,0.0006590747643375459,0.04916941662119547,Chronos-Small,BOVESPA,250
1208,9,0.0074503311258278145,0.35094245540487556,Green,0.00033427665458975593,0.026093562734174288,Chronos-Small,NIFTY,250
1833,17,0.009274413529732678,0.7519495092436591,Green,0.0004260152060740538,0.031949027797276326,Chronos-Small,ASX200,250
976,6,0.006147540983606557,0.19278339667309285,Green,0.00014780240020097253,0.013163136795302078,Chronos-Small,CBU0,250
1631,11,0.00674432863274065,0.16023425338411357,Green,0.0003676571475384997,0.0298054412000447,Chronos-Small,TLT,250
1226,10,0.008156606851549755,0.5027775030159605,Green,0.00024183031769494618,0.02172333769621574,Chronos-Small,IBGL,250
693,11,0.015873015873015872,0.1523089390947161,Green,0.00039587564683026547,0.029737802534460737,Chronos-Small,DJCI,250
1770,21,0.011864406779661017,0.4437966833903798,Green,0.0004519135121124564,0.03201378017903628,Chronos-Small,GOLD,250
1772,15,0.008465011286681716,0.5047655053365749,Green,0.001443986457613731,0.10553691813959391,Chronos-Small,WTI,250
1771,18,0.010163749294184076,0.9449320315273775,Green,0.001664790389383553,0.12700095679338208,Chronos-Small,NATGAS,250
1107,8,0.007226738934056007,0.3292522440225013,Green,0.0009146614492884741,0.07255553775727121,Chronos-Small,BTC,250
762,10,0.013123359580052493,0.4083186120589011,Green,0.001384909904166525,0.10623071582865179,Chronos-Small,ETH,250
1582,13,0.008217446270543615,0.4621805271113105,Green,0.0001656909651587153,0.01296234591158251,Chronos-Small,EURUSD,250
1585,14,0.008832807570977918,0.6337277510884023,Green,0.0002010004260097743,0.015190013472553866,Chronos-Small,GBPUSD,250
